id,name,hex6,url,lrv,r,g,b,hex6_detail,description
7004-4,Tsunami Sky,D7DBDA,https://www.valspar.com/en/colors/browse-colors/lowes/white/tsunami-sky-7004-4,70.19,215,219,218,D7DBDA,
V086-1,Cozy Coverlet,F4DAC3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/cozy-coverlet-v086-1,73.414,244,218,195,F4DAC3,
7001-19,Crushed Out,E4D5CF,https://www.valspar.com/en/colors/browse-colors/lowes/white/crushed-out-7001-19,68.531,228,213,207,E4D5CF,
V093-1,Filtered Light,F1DCB9,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/filtered-light-v093-1,73.457,241,220,185,F1DCB9,
7004-10,Fragile Blue,D7D9DA,https://www.valspar.com/en/colors/browse-colors/lowes/white/fragile-blue-7004-10,69.307,215,217,218,D7D9DA,
7002-1,Clay Angel,E0D5C8,https://www.valspar.com/en/colors/browse-colors/lowes/white/clay-angel-7002-1,67.656,224,213,200,E0D5C8,
V088-1,Peachfizz,F1DBC3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/peachfizz-v088-1,73.14,241,219,195,F1DBC3,
8007-9G,Lion of Hadrian,E0D6C3,https://www.valspar.com/en/colors/browse-colors/lowes/white/lion-of-hadrian-8007-9g,68.0,224,214,195,E0D6C3,
V092-1,Candelabra,EDDCBE,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/candelabra-v092-1,72.779,237,220,190,EDDCBE,
8007-10G,Honey Locust,E2D3C0,https://www.valspar.com/en/colors/browse-colors/lowes/white/honey-locust-8007-10g,67.0,226,211,192,E2D3C0,
V090-1,Bubbly,EBDBC4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/bubbly-v090-1,72.262,235,219,196,EBDBC4,
T559,Natural Soap,E7DBC6,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/natural-soap-t559,72.086,231,219,198,E7DBC6,
7004-18,Sandstone Gray,D7D5D1,https://www.valspar.com/en/colors/browse-colors/lowes/white/sandstone-gray-7004-18,66.444,215,213,209,D7D5D1,
7004-21,Morning Lake,D1D3D1,https://www.valspar.com/en/colors/browse-colors/lowes/white/morning-lake-7004-21,64.794,209,211,209,D1D3D1,
