name,code,r,g,b,hex,brand,url
"TAWNY MUSHROOM","PPG1054-5","179","153","151","#B39997","PPG","/color/color-families/reds/tawny-mushroom"
"BRANDY SNAPS","PPG1053-5","181","142","139","#B58E8B","PPG","/color/color-families/reds/brandy-snaps"
"FLORAL TAPESTRY","PPG1052-4","195","145","145","#C39191","PPG","/color/color-families/reds/floral-tapestry"
"MEXICALI ROSE","PPG18-06","196","155","158","#C49B9E","PPG","/color/color-families/pinks/mexicali-rose"
"PEPPERBERRY","PPG1055-4","199","157","155","#C79D9B","PPG","/color/color-families/pinks/pepperberry"
"RAFFIA CREAM","PPG1056-4","205","160","154","#CDA09A","PPG","/color/color-families/pinks/raffia-cream"
"MESA PINK","PPG1058-4","221","177","168","#DDB1A8","PPG","/color/color-families/pinks/mesa-pink"
"TEA TIME","PPG1054-4","217","190","188","#D9BEBC","PPG","/color/color-families/pinks/tea-time"
"RADIANT ROUGE","PPG1053-4","215","177","178","#D7B1B2","PPG","/color/color-families/reds/radiant-rouge"
"CORAL COVE","PPG1057-4","221","166","159","#DDA69F","PPG","/color/color-families/pinks/coral-cove"
"HOLLAND TILE","PPG1064-5","221","151","137","#DD9789","PPG","/color/color-families/reds/holland-tile"
"PINK CLAY POT","PPG1051-4","217","146","148","#D99294","PPG","/color/color-families/reds/pink-clay-pot"
"MADAGASCAR PINK","PPG1050-4","209","148","161","#D194A1","PPG","/color/color-families/pinks/madagascar-pink"
"PINK FLAMBE","PPG1186-4","230","142","150","#E68E96","PPG","/color/color-families/pinks/pink-flambe"
"RIVER ROUGE","PPG1187-4","236","155","157","#EC9B9D","PPG","/color/color-families/pinks/river-rouge"
"SOFT SALMON","PPG1190-4","234","170","162","#EAAAA2","PPG","/color/color-families/pinks/soft-salmon"
"PEACH BEIGE","PPG1064-4","236","188","178","#ECBCB2","PPG","/color/color-families/reds/peach-beige"
"RIVIERA ROSE","PPG1189-4","247","177","166","#F7B1A6","PPG","/color/color-families/pinks/riviera-rose"
"SALMON PINK","PPG1188-4","246","160","157","#F6A09D","PPG","/color/color-families/pinks/salmon-pink"
"PRIMROSE GARDEN","PPG1185-4","243","148","155","#F3949B","PPG","/color/color-families/pinks/primrose-garden"
"PINK PUNCH","PPG1184-4","243","146","160","#F392A0","PPG","/color/color-families/pinks/pink-punch"
"BRANDYWINE","PPG1183-4","230","157","173","#E69DAD","PPG","/color/color-families/pinks/brandywine"
"GARDEN PARTY","PPG1182-4","227","164","184","#E3A4B8","PPG","/color/color-families/pinks/garden-party"
"TICKLED PINK","PPG1181-4","239","167","191","#EFA7BF","PPG","/color/color-families/pinks/tickled-pink"
"POWDER ROSE","PPG1184-3","245","179","188","#F5B3BC","PPG","/color/color-families/pinks/powder-rose"
"PRECIOUS PINK","PPG1185-3","246","181","182","#F6B5B6","PPG","/color/color-families/pinks/precious-pink"
"ROSEWINE","PPG1188-3","247","194","191","#F7C2BF","PPG","/color/color-families/pinks/rosewine"
"ROSE PINK","PPG1189-3","247","202","193","#F7CAC1","PPG","/color/color-families/pinks/rose-pink"
"TEXAS ROSE","PPG1064-3","241","210","201","#F1D2C9","PPG","/color/color-families/reds/texas-rose"
"SONIA ROSE","PPG1190-3","243","200","194","#F3C8C2","PPG","/color/color-families/pinks/sonia-rose"
"SILVER STRAWBERRY","PPG1187-3","242","193","192","#F2C1C0","PPG","/color/color-families/pinks/silver-strawberry"
"JAGUAR ROSE","PPG1186-3","241","179","182","#F1B3B6","PPG","/color/color-families/pinks/jaguar-rose"
"ROSE MELODY","PPG1183-3","236","191","201","#ECBFC9","PPG","/color/color-families/pinks/rose-melody"
"MOUNTAIN LAUREL","PPG1181-3","244","200","213","#F4C8D5","PPG","/color/color-families/pinks/mountain-laurel"
"PALE PRIMROSE","PPG1182-3","238","200","211","#EEC8D3","PPG","/color/color-families/pinks/pale-primrose"
"LOVE IN A MIST","PPG1050-3","225","185","194","#E1B9C2","PPG","/color/color-families/pinks/love-in-a-mist"
"STRAWBERRY MOUSSE","PPG1051-3","233","179","180","#E9B3B4","PPG","/color/color-families/reds/strawberry-mousse"
