name,code,rgb,hex
"Artist's Canvas","UL150-8","238,228,210","#eee4d2"
"Pillar White","UL150-9","239,234,222","#efeade"
"Bone","UL160-15","221,205,177","#ddcdb1"
"Parachute Silk","UL160-16","215,200,175","#d7c8af"
"Gold Plated","UL160-2","176,131,79","#b0834f"
"Cacao","UL160-22","107,88,72","#6b5848"
"Gold Torch","UL160-3","189,149,94","#bd955e"
"Spiced Cashews","UL160-4","211,176,128","#d3b080"
"Straw Basket","UL160-6","217,198,154","#d9c69a"
"Pale Wheat","UL160-7","217,194,159","#d9c29f"
"Pine Cone","UL170-1","100,83,69","#645345"
"Canvas Tan","UL170-14","221,214,198","#ddd6c6"
"Mineral","UL170-15","215,209,197","#d7d1c5"
"Vast Desert","UL170-17","194,177,151","#c2b197"
"Nile Sand","UL170-19","187,173,148","#bbad94"
"Sierra Sand","UL170-20","175,162,143","#afa28f"
"Mission Hills","UL170-3","178,156,127","#b29c7f"
"Gobi Tan","UL170-4","187,165,135","#bba587"
"Cabo","UL170-7","206,192,170","#cec0aa"
"Washed Khaki","UL170-8","202,194,175","#cac2af"
"Lemon Drop","UL180-11","231,214,172","#e7d6ac"
"Yellowstone","UL180-18","232,214,178","#e8d6b2"
"Caribbean Sunrise","UL180-19","245,218,170","#f5daaa"
"Tangy","UL180-21","227,195,130","#e3c382"
"Egyptian Temple","UL180-22","214,179,120","#d6b378"
"Ground Cumin","UL180-24","190,159,110","#be9f6e"
"Bazaar","UL180-26","132,106,73","#846a49"
"Madagascar","UL180-3","157,133,68","#9d8544"
"Clay Beige","UL190-10","213,209,195","#d5d1c3"
"Guesthouse","UL190-11","227,224,210","#e3e0d2"
"Tatami Mat","UL190-19","175,157,131","#af9d83"
"Saturn Gray","UL190-7","184,177,159","#b8b19f"
"Polished","UL200-11","229,228,219","#e5e4db"
"Fig Leaf","UL200-23","94,93,74","#5e5d4a"
"Dried Basil","UL200-5","137,137,115","#898973"
"Silver Tinsel","UL200-7","182,179,169","#b6b3a9"
"Silver Moon","UL200-9","217,215,201","#d9d7c9"
"Silver Sage","UL210-8","193,195,183","#c1c3b7"
"Blue Cascade","UL230-17","123,158,176","#7b9eb0"
"Melody","UL240-14","190,203,215","#becbd7"
"Nostalgic","UL240-2","102,108,126","#666c7e"
"Sausalito Port","UL240-20","93,111,133","#5d6f85"
"Signature Blue","UL240-22","69,83,113","#455371"
"Lunar Shadow","UL240-4","112,118,133","#707685"
"Grape Crème","UL250-10","190,187,187","#bebbbb"
"Mauve Morning","UL250-11","217,208,207","#d9d0cf"
"White Opal","UL250-13","231,226,221","#e7e2dd"
"Victorian","UL250-18","152,143,151","#988f97"
"Legacy","UL250-22","94,90,103","#5e5a67"
"Contessa","UL250-6","151,141,145","#978d91"
"Silver Sateen","UL260-16","199,198,192","#c7c6c0"
"Burnished Metal","UL260-17","200,203,200","#c8cbc8"
"Pewter Ring","UL260-4","138,136,134","#8a8886"
"Cathedral Grey","UL260-7","171,169,167","#aba9a7"
"Ashes","UL260-9","184,181,173","#b8b5ad"
"Billowy Clouds","B-100","246,240,233","#f6f0e9"
"Soft Lace","B-110","245,237,229","#f5ede5"
"Victorian Pearl","B-120","241,227,216","#f1e3d8"
"Popped Corn","B-200","244,241,232","#f4f1e8"
"Divine Pleasure","B-210","244,239,225","#f4efe1"
"Vanilla Delight","B-220","245,232,213","#f5e8d5"
"Magnolia Blossom","B-300","248,246,228","#f8f6e4"
"Glow","B-310","249,242,218","#f9f2da"
"White Corn","B-320","245,239,214","#f5efd6"
"Vermont Cream","B-400","248,245,232","#f8f5e8"
"Star Shine","B-410","248,246,227","#f8f6e3"
"White Hydrangea","B-420","249,246,221","#f9f6dd"
"Frosted Juniper","B-510","240,244,235","#f0f4eb"
"Glacial Tint","B-520","234,242,237","#eaf2ed"
"Luster White","B-600","244,241,236","#f4f1ec"
"Soft Breeze","B-610","246,240,235","#f6f0eb"
"Frosty Morning","B-620","239,232,232","#efe8e8"
"Almond Cream","B-710","239,234,221","#efeadd"
"Oyster","B-720","228,219,205","#e4dbcd"
"China Cup","D-100","248,240,229","#f8f0e5"
"Soft Muslin","D-110","247,234,223","#f7eadf"
"Bleached Shell","D-120","246,229,218","#f6e5da"
"Pot Of Cream","D-200","249,244,230","#f9f4e6"
"Camembert","D-210","251,243,223","#fbf3df"
"Vanilla Custard","D-220","253,241,215","#fdf1d7"
"Eggshell Cream","D-300","245,238,219","#f5eedb"
"Cotton Fluff","D-400","249,244,229","#f9f4e5"
"Canyon Cloud","D-410","252,243,221","#fcf3dd"
"Beach White","D-420","246,238,214","#f6eed6"
"Cascade White","D-500","236,242,236","#ecf2ec"
"Waterfall Mist","D-510","228,238,234","#e4eeea"
"Clear View","D-520","226,234,231","#e2eae7"
"Bridal Veil","D-600","243,241,238","#f3f1ee"
"White Glove","D-610","240,239,237","#f0efed"
"Pale Bud","D-620","238,235,232","#eeebe8"
"Powdered Snow","D-700","248,244,230","#f8f4e6"
"Creamy White","D-710","250,242,225","#faf2e1"
"Innocence","D-720","251,239,218","#fbefda"
"Belgian Cream","F-100","249,241,226","#f9f1e2"
"Chamois Cloth","F-110","240,225,208","#f0e1d0"
"Natural Linen","F-120","236,223,207","#ecdfcf"
"Nude","F-210","242,236,224","#f2ece0"
"Cinnamon Cake","F-220","232,221,207","#e8ddcf"
"Cotton Whisper","F-300","250,241,223","#faf1df"
"Swan Wing","F-400","245,242,230","#f5f2e6"
"Ostrich","F-410","233,227,213","#e9e3d5"
"Silver Sky","F-510","234,236,233","#eaece9"
"Ash White","F-520","223,227,226","#dfe3e2"
"Snow Fall","F-600","243,242,235","#f3f2eb"
"White Fur","F-610","241,239,231","#f1efe7"
"Moon Rise","F-700","244,244,232","#f4f4e8"
"Hushed White","F-710","241,242,228","#f1f2e4"
"Silver Leaf","F-720","237,236,224","#edece0"
"Alpenglow","CE-01","240,190,184","#f0beb8"
"Mermaid Tears","CE-02","161,223,221","#a1dfdd"
"Unfading Dusk","CE-03","231,216,222","#e7d8de"
"Peach Of Mind","CE-04","255,226,180","#ffe2b4"
"Rhino","710E-3","189,194,185","#bdc2b9"
"Mocha Light","BWC-24","215,207,194","#d7cfc2"
"Whipped Cream","DC-001","246,245,239","#f6f5ef"
"Statement White","DC-002","235,235,230","#ebebe6"
"Blank Canvas","DC-003","241,237,225","#f1ede1"
"Winter White","DC-004","238,239,232","#eeefe8"
"Natural White","DC-005","247,244,232","#f7f4e8"
"First Snow","DC-006","236,234,226","#eceae2"
"Tranquil Gray","DC-007","208,203,192","#d0cbc0"
"Gratifying Gray","DC-008","203,201,192","#cbc9c0"
"Vintage Pewter","DC-009","203,196,183","#cbc4b7"
"Even Better Beige","DC-010","212,202,186","#d4caba"
"Papier Blanc","NT-08","239,234,220","#efeadc"
"New Chestnut","280F-5","162,131,103","#a28367"
"Sweet Georgia Brown","280F-6","139,113,90","#8b715a"
