source_anchor_slug,source_anchor_code,source_anchor_name,source_family,source_url,a_slug,a_code,a_name,a_rgb,a_hex,b_slug,b_code,b_name,b_rgb,b_hex
de5032,DEW-5032,Heirloom Rose,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5032/,de6036,DEW-6036,Trim,"rgb(236,227,225)",ECE3E1,de6037,DEW-6037,Accent,"rgb(219,208,206)",DBD0CE
de5033,DEW-5033,Raspberry Parfait,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5033/,de5033,DEW-5033,Raspberry Parfait,,B96482,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1
de5033,DEW-5033,Raspberry Parfait,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5033/,de5033,DEW-5033,Raspberry Parfait,,B96482,de6122,DEW-6122,Accent,"rgb(216,199,182)",D8C7B6
de5033,DEW-5033,Raspberry Parfait,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5033/,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1,de6122,DEW-6122,Accent,"rgb(216,199,182)",D8C7B6
de5034,DEW-5034,Cherry Berry,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5034/,de5034,DEW-5034,Cherry Berry,,9F4D65,dew302,DEW-302,Trim,"rgb(253,239,233)",FDEFE9
de5034,DEW-5034,Cherry Berry,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5034/,de5034,DEW-5034,Cherry Berry,,9F4D65,de6073,DEW-6073,Accent,"rgb(214,195,185)",D6C3B9
de5034,DEW-5034,Cherry Berry,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5034/,dew302,DEW-302,Trim,"rgb(253,239,233)",FDEFE9,de6073,DEW-6073,Accent,"rgb(214,195,185)",D6C3B9
de5035,DEW-5035,Fairy Dust,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5035/,de5035,DEW-5035,Fairy Dust,,FFE8F4,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1
de5035,DEW-5035,Fairy Dust,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5035/,de5035,DEW-5035,Fairy Dust,,FFE8F4,de6213,DEW-6213,Accent,"rgb(216,207,193)",D8CFC1
de5035,DEW-5035,Fairy Dust,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5035/,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1,de6213,DEW-6213,Accent,"rgb(216,207,193)",D8CFC1
de5036,DEW-5036,Ballerina,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5036/,de5036,DEW-5036,Ballerina,,FED5E9,dew325,DEW-325,Trim,"rgb(255,251,240)",FFFBF0
de5036,DEW-5036,Ballerina,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5036/,de5036,DEW-5036,Ballerina,,FED5E9,de6122,DEW-6122,Accent,"rgb(216,199,182)",D8C7B6
de5036,DEW-5036,Ballerina,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5036/,dew325,DEW-325,Trim,"rgb(255,251,240)",FFFBF0,de6122,DEW-6122,Accent,"rgb(216,199,182)",D8C7B6
de5037,DEW-5037,Flamingo Feather,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5037/,de5037,DEW-5037,Flamingo Feather,,F8BDD9,dew322,DEW-322,Trim,"rgb(255,249,228)",FFF9E4
de5037,DEW-5037,Flamingo Feather,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5037/,de5037,DEW-5037,Flamingo Feather,,F8BDD9,dec724,,Accent,"rgb(255,232,199)",FFE8C7
de5037,DEW-5037,Flamingo Feather,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5037/,dew322,DEW-322,Trim,"rgb(255,249,228)",FFF9E4,dec724,,Accent,"rgb(255,232,199)",FFE8C7
de5038,DEW-5038,Be My Valentine,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5038/,de5038,DEW-5038,Be My Valentine,,EC9DC3,dew301,DEW-301,Trim,"rgb(255,240,234)",FFF0EA
